frame_diff,frame_number,side,Rally,,
1,2681,right,,,
1,2682,right,,,
1,2683,right,,,
1,2684,right,,,
3,2687,right,,,
1,2688,right,,,
1,2689,right,,,
1,2690,right,,,
1,2691,left,,,
1,2692,left,,,
1,2693,left,,,
1,2694,left,,,
1,2695,left,,,
1,2696,left,,,
1,2697,left,,,
4,2701,left,,,
1,2702,left,,,
1,2704,right,,,
1,2705,right,,,
1,2706,right,,,
1,2707,right,,,
1,2708,right,,,
1,2709,right,,,
3,2712,right,,,
1,2713,right,,,
1,2714,right,,,
1,2715,right,,,
2,2717,left,,,
1,2718,left,,,
2,2720,left,,,
1,2721,left,,,
1,2722,left,,,
3,2725,left,,,
1,2726,left,,,
2,2729,right,,,
1,2730,right,,,
1,2731,right,,,
1,2732,right,,,
1,2733,right,,,
1,2734,right,,,
1,2735,right,,,
1,2736,right,,,
1,2737,right,,,
3,2744,right,,,
2,2746,left,,,
1,2747,left,,,
1,2755,right,,,
1,2756,right,,,
1,2757,right,,,
1,2758,right,,,
1,2759,right,,,
1,2760,right,,,
1,2761,right,,,
1,2762,right,,,
1,2763,right,,,
2,2765,right,,,
1,2766,right,,,
1,2767,right,,,
1,2768,right,,,
1,2769,right,,,
1,2770,right,,,
1,2771,left,,,
1,2772,left,,,
1,2773,left,,,
1,2774,left,,,
1,2775,left,,,
1,2776,left,,,
1,2777,left,,,
4,2781,left,,,
1,2782,left,,,
1,2783,left,,,
1,2785,right,,,
1,2786,right,,,
1,2787,right,,,
1,2788,right,,,
1,2789,right,,,
1,2790,right,,,
1,2791,right,,,
1,2792,right,,,
4,2796,right,,,
1,2797,right,,,
2,2799,left,,,
1,2800,left,,,
1,2801,left,,,
1,2802,left,,,
1,2803,left,,,
1,2804,left,,,
5,2810,left,,,
1,2811,left,,,
2,2814,right,,,
2,2816,right,,,
1,2817,right,,,
1,2818,right,,,
1,2819,right,,,
1,2820,right,,,
1,2821,right,,,
1,2822,right,,,
1,2823,right,,,
1,2824,right,,,
1,2825,left,,,
1,2826,left,,,
1,2827,left,,,
1,2828,left,,,
1,2829,left,,,
1,2830,left,,,
1,2831,left,,,
1,2832,left,,,
3,2835,left,,,
1,2836,left,,,
1,2837,left,,,
1,2838,left,,,
1,2840,right,,,
2,2842,right,,,
2,2844,right,,,
1,2845,right,,,
1,2846,right,,,
1,2847,right,,,
1,2848,right,,,
1,2849,right,,,
1,2850,right,,,
1,2851,right,,,
1,2852,right,,,
1,2853,left,,,
1,2854,left,,,
1,2855,left,,,
1,2856,left,,,
1,2857,left,,,
1,2858,left,,,
1,2859,left,,,
1,2860,left,,,
1,2861,left,,,
1,2862,left,,,
3,2869,right,,,
1,2870,right,,,
2,2872,right,,,
1,2873,right,,,
1,2874,right,,,
1,2875,right,,,
1,2876,right,,,
1,2877,right,,,
2,2886,left,,,
1,2887,left,,,
1,2888,left,,,
1,2889,left,,,
1,2890,left,,,
3,2894,left,,,
1,2895,left,,,
1,2896,left,,,
1,2897,left,,,
1,2898,left,,,
1,2899,left,,,
1,2900,left,,,
